sep=,
"Time","{task_name=""Latency_Sink""}"
2022-02-22 08:40:30,
2022-02-22 08:40:45,
2022-02-22 08:41:00,
2022-02-22 08:41:15,
2022-02-22 08:41:30,0
2022-02-22 08:41:45,0
2022-02-22 08:42:00,
2022-02-22 08:42:15,0
2022-02-22 08:42:30,0
2022-02-22 08:42:45,0
2022-02-22 08:43:00,0
2022-02-22 08:43:15,0
2022-02-22 08:43:30,0
2022-02-22 08:43:45,0
2022-02-22 08:44:00,0
2022-02-22 08:44:15,0
2022-02-22 08:44:30,0
2022-02-22 08:44:45,0
2022-02-22 08:45:00,0
2022-02-22 08:45:15,0
2022-02-22 08:45:30,0
2022-02-22 08:45:45,0
2022-02-22 08:46:00,
2022-02-22 08:46:15,0
2022-02-22 08:46:30,0
2022-02-22 08:46:45,0
2022-02-22 08:47:00,0
2022-02-22 08:47:15,0
2022-02-22 08:47:30,0
2022-02-22 08:47:45,0
2022-02-22 08:48:00,0
2022-02-22 08:48:15,0
2022-02-22 08:48:30,0
2022-02-22 08:48:45,0
2022-02-22 08:49:00,0
2022-02-22 08:49:15,0
2022-02-22 08:49:30,0
2022-02-22 08:49:45,0
2022-02-22 08:50:00,0
2022-02-22 08:50:15,0
2022-02-22 08:50:30,0
2022-02-22 08:50:45,0
2022-02-22 08:51:00,0
2022-02-22 08:51:15,0
2022-02-22 08:51:30,0
2022-02-22 08:51:45,0
2022-02-22 08:52:00,0
2022-02-22 08:52:15,0
2022-02-22 08:52:30,0
2022-02-22 08:52:45,0
2022-02-22 08:53:00,0
2022-02-22 08:53:15,0
2022-02-22 08:53:30,0
2022-02-22 08:53:45,0
2022-02-22 08:54:00,0
2022-02-22 08:54:15,0
2022-02-22 08:54:30,0
2022-02-22 08:54:45,0
2022-02-22 08:55:00,0
2022-02-22 08:55:15,0
2022-02-22 08:55:30,0
2022-02-22 08:55:45,0
2022-02-22 08:56:00,0
2022-02-22 08:56:15,0
2022-02-22 08:56:30,0
2022-02-22 08:56:45,0
2022-02-22 08:57:00,0
2022-02-22 08:57:15,0
2022-02-22 08:57:30,0
2022-02-22 08:57:45,0
2022-02-22 08:58:00,0
2022-02-22 08:58:15,0
2022-02-22 08:58:30,0
2022-02-22 08:58:45,0
2022-02-22 08:59:00,0
2022-02-22 08:59:15,0
2022-02-22 08:59:30,0
2022-02-22 08:59:45,0
2022-02-22 09:00:00,0
2022-02-22 09:00:15,0
2022-02-22 09:00:30,0
2022-02-22 09:00:45,0
2022-02-22 09:01:00,0
2022-02-22 09:01:15,0
2022-02-22 09:01:30,0
2022-02-22 09:01:45,0
2022-02-22 09:02:00,0
2022-02-22 09:02:15,0
2022-02-22 09:02:30,0
2022-02-22 09:02:45,0
2022-02-22 09:03:00,0
2022-02-22 09:03:15,0
2022-02-22 09:03:30,0
2022-02-22 09:03:45,0
2022-02-22 09:04:00,0
2022-02-22 09:04:15,0
2022-02-22 09:04:30,0
2022-02-22 09:04:45,0
2022-02-22 09:05:00,0
2022-02-22 09:05:15,0
2022-02-22 09:05:30,0
2022-02-22 09:05:45,0
2022-02-22 09:06:00,0
2022-02-22 09:06:15,0
2022-02-22 09:06:30,0
2022-02-22 09:06:45,0
2022-02-22 09:07:00,0
2022-02-22 09:07:15,0
2022-02-22 09:07:30,0
2022-02-22 09:07:45,0
2022-02-22 09:08:00,0
2022-02-22 09:08:15,0
2022-02-22 09:08:30,0
2022-02-22 09:08:45,0
2022-02-22 09:09:00,0
2022-02-22 09:09:15,0
2022-02-22 09:09:30,0
2022-02-22 09:09:45,0
2022-02-22 09:10:00,0
2022-02-22 09:10:15,0
2022-02-22 09:10:30,0
2022-02-22 09:10:45,0
2022-02-22 09:11:00,0
2022-02-22 09:11:15,0
2022-02-22 09:11:30,0
2022-02-22 09:11:45,0
2022-02-22 09:12:00,0
2022-02-22 09:12:15,0
2022-02-22 09:12:30,0
2022-02-22 09:12:45,0
2022-02-22 09:13:00,0
2022-02-22 09:13:15,0
2022-02-22 09:13:30,0
2022-02-22 09:13:45,0
2022-02-22 09:14:00,0
2022-02-22 09:14:15,0
2022-02-22 09:14:30,0
2022-02-22 09:14:45,0
2022-02-22 09:15:00,0
2022-02-22 09:15:15,0
2022-02-22 09:15:30,0
2022-02-22 09:15:45,0
2022-02-22 09:16:00,0
2022-02-22 09:16:15,0
2022-02-22 09:16:30,0
2022-02-22 09:16:45,0
2022-02-22 09:17:00,0
2022-02-22 09:17:15,0
2022-02-22 09:17:30,0
2022-02-22 09:17:45,0
2022-02-22 09:18:00,0
2022-02-22 09:18:15,0
2022-02-22 09:18:30,0
2022-02-22 09:18:45,0
2022-02-22 09:19:00,0
2022-02-22 09:19:15,0
2022-02-22 09:19:30,0
2022-02-22 09:19:45,0
2022-02-22 09:20:00,0
2022-02-22 09:20:15,0
2022-02-22 09:20:30,0
2022-02-22 09:20:45,0
2022-02-22 09:21:00,0
2022-02-22 09:21:15,0
2022-02-22 09:21:30,0
2022-02-22 09:21:45,0
2022-02-22 09:22:00,0
2022-02-22 09:22:15,0
2022-02-22 09:22:30,0
2022-02-22 09:22:45,0
2022-02-22 09:23:00,0
2022-02-22 09:23:15,0
2022-02-22 09:23:30,0
2022-02-22 09:23:45,0
2022-02-22 09:24:00,0
2022-02-22 09:24:15,0
2022-02-22 09:24:30,0
2022-02-22 09:24:45,0
2022-02-22 09:25:00,0
2022-02-22 09:25:15,0
2022-02-22 09:25:30,0
2022-02-22 09:25:45,0
2022-02-22 09:26:00,0
2022-02-22 09:26:15,0
2022-02-22 09:26:30,0
2022-02-22 09:26:45,0
2022-02-22 09:27:00,0
2022-02-22 09:27:15,0
2022-02-22 09:27:30,0
2022-02-22 09:27:45,0
2022-02-22 09:28:00,0
2022-02-22 09:28:15,0
2022-02-22 09:28:30,0
