# operator_id,operator_instance_id,total_number_of_operator_instances,epoch_timestamp,true_processing_rate,true_output_rate,observed_processing_rate,observed_output_rate
bids_topic,0,1,1647965571286706800,1,1,1,1
Source:_BidsSource,6,8,1647965571286706800,177735.51598869805,180248.08419667822,30022.490909090906,30446.905555555557
Mapper,6,8,1647965571286706800,181213.06017925736,183800.49463447352,30020.963636363635,30449.61527777778
LatencySink,6,8,1647965571286706800,973606.8796068794,0.0,30019.545454545452,0.0
Source:_BidsSource,4,8,1647965571286706800,192822.8571428571,197580.2733686067,30369.599999999995,31118.893055555556
Mapper,4,8,1647965571286706800,231435.3593073593,237124.708994709,30375.890909090907,31122.61805555556
LatencySink,4,8,1647965571286706800,1139273.1818181819,0.0,30380.61818181818,0.0
Source:_BidsSource,2,8,1647965571286706800,173991.82083739043,179131.00823227406,29781.599999999995,30661.257575757576
Mapper,2,8,1647965571286706800,189080.28860028856,194706.12794612793,29780.14545454545,30666.21515151515
LatencySink,2,8,1647965571286706800,948137.7381239448,0.0,29787.32727272727,0.0
Source:_BidsSource,1,8,1647965571286706800,145898.19055593986,152209.5314377253,30358.981818181815,31672.266666666666
Mapper,1,8,1647965571286706800,165752.36992307054,172945.33666969975,30360.30909090909,31677.82083333334
LatencySink,1,8,1647965571286706800,739015.8952609258,0.0,30361.236363636363,0.0
Source:_BidsSource,7,8,1647965571286706800,123782.2717822718,129248.32524832529,29769.63636363636,31084.222222222223
Mapper,7,8,1647965571286706800,129925.4479338843,135658.49090909094,29774.581818181814,31088.40416666667
LatencySink,7,8,1647965571286706800,586038.1520119226,0.0,29790.272727272724,0.0
Source:_BidsSource,5,8,1647965571286706800,126210.8265049358,147648.929500828,29638.50909090909,34672.89027777778
Mapper,5,8,1647965571286706800,133057.2798694011,155692.3681257015,29638.50909090909,34680.475000000006
LatencySink,5,8,1647965571286706800,776554.8233425964,0.0,29638.50909090909,0.0
Source:_BidsSource,0,8,1647965571286706800,188879.86043806936,197455.5259417199,29528.21818181818,30868.880555555552
Mapper,0,8,1647965571286706800,206159.22576550845,215537.87085514833,29532.30909090909,30875.800000000003
LatencySink,0,8,1647965571286706800,1554319.6172248807,0.0,29532.072727272727,0.0
Source:_BidsSource,3,8,1647965571286706800,274714.9124017106,276096.8892261001,30172.854545454546,30324.641666666663
Mapper,3,8,1647965571286706800,270409.0705411093,271780.4456061738,30173.14545454545,30326.16805555556
LatencySink,3,8,1647965571286706800,1708017.8387650086,0.0,30174.981818181815,0.0
