# operator_id,operator_instance_id,total_number_of_operator_instances,epoch_timestamp,true_processing_rate,true_output_rate,observed_processing_rate,observed_output_rate
bids_topic,0,1,1648896515716473800,1,1,1,1
SessionWindow____DummyLatencySink,7,4,1648896515716473800,25221.63641209214,0.0,1525.9090029315744,0.0
Source:_BidsSource____Timestamps_Watermarks,7,4,1648896515716473800,43915.22524393861,248406.20915032682,1119.8382437204343,6334.358333333334
SessionWindow____DummyLatencySink,5,4,1648896515716473800,15782.465217391305,0.0,1088.9901000000002,0.0
Source:_BidsSource____Timestamps_Watermarks,5,4,1648896515716473800,38754.793207547176,249220.44025157235,1027.0020200000001,6604.341666666667
SessionWindow____DummyLatencySink,6,4,1648896515716473800,13065.230322580646,0.0,810.0442800000001,0.0
Source:_BidsSource____Timestamps_Watermarks,6,4,1648896515716473800,23325.81333333333,201513.84615384616,758.0889333333333,6549.200000000001
SessionWindow____DummyLatencySink,0,4,1648896515716473800,16337.250877192982,0.0,1241.6310666666666,0.0
Source:_BidsSource____Timestamps_Watermarks,0,4,1648896515716473800,29489.549479166668,13942.777332621083,24535.305166666665,11600.39074074074
SessionWindow____DummyLatencySink,1,4,1648896515716473800,33107.79376037873,0.0,25253.889351666665,0.0
Source:_BidsSource____Timestamps_Watermarks,1,4,1648896515716473800,35566.836963868554,14469.48294658153,25374.96223833333,10323.172222222222
