,timestamp,datetime,seconds,minutes,input_rate,latency,task_name,throughput,lag,CPU_load,taskmanager,backpressure,idle_time,busy_time,task_parallelism_LatencySink,task_parallelism_SessionWindow,task_parallelism_Source__BidsSource____BidsTimestampAssigner
0,2022-12-19 18:03:44,2022-12-19 18:03:44,0,0.0,5376.262348333334,,,,,0.0596899553501753,9.0,,,,,,
1,2022-12-19 18:03:59,2022-12-19 18:03:59,15,0.25,556940.8802326666,,,,,0.0192950857113351,28.0,,,,,,
2,2022-12-19 18:04:14,2022-12-19 18:04:14,30,0.5,1125634.1291421212,23.2473,LatencySink,0.0,53289478.0,0.6347909270954757,30.0,230.66666666666663,0.1373111111111111,0.8195555555555557,10.0,10.0,20.0
3,2022-12-19 18:04:29,2022-12-19 18:04:29,45,0.75,1693917.6122169695,27.2547,LatencySink,915.15,62838162.0,0.5947143293969892,30.0,304.6666666666667,0.3188455555555555,0.6036622222222222,10.0,10.0,20.0
4,2022-12-19 18:04:44,2022-12-19 18:04:44,60,1.0,2209790.909090909,30.7772,LatencySink,7890.65,71917504.0,0.4989047546818464,30.0,405.0,0.3576898148148148,0.5353527777777779,10.0,10.0,20.0
5,2022-12-19 18:04:59,2022-12-19 18:04:59,75,1.25,2196534.963636364,35.046800000000005,LatencySink,14549.866666666669,81801679.0,0.5071883701875743,30.0,456.33333333333337,0.3751249999999999,0.4935487373737373,10.0,10.0,20.0
6,2022-12-19 18:05:14,2022-12-19 18:05:14,90,1.5,2179258.5636363635,38.3375,LatencySink,21599.86666666666,90240737.0,0.5055580609682588,30.0,545.1666666666667,0.4339972222222222,0.3996416666666667,10.0,10.0,20.0
7,2022-12-19 18:05:29,2022-12-19 18:05:29,105,1.75,2161148.5454545454,43.2783,LatencySink,27039.583333333336,101322519.0,0.5030080725368188,30.0,616.6666666666666,0.4211166666666667,0.3870111111111112,10.0,10.0,20.0
8,2022-12-19 18:05:44,2022-12-19 18:05:44,120,2.0,2161711.9090909087,48.90579999999999,LatencySink,26656.75,112880920.0,0.4525108747878029,30.0,635.5,0.4196305555555555,0.3764916666666666,10.0,10.0,20.0
9,2022-12-19 18:05:59,2022-12-19 18:05:59,135,2.25,2181721.9272727272,53.43369999999999,LatencySink,25939.216666666664,126206289.0,0.4816899325599464,30.0,649.1666666666667,0.4210166666666667,0.3707027777777777,10.0,10.0,20.0
10,2022-12-19 18:06:14,2022-12-19 18:06:14,150,2.5,2200751.109090909,59.0231,LatencySink,25033.033333333333,139448061.0,0.499070551591236,30.0,667.25,0.4240055555555556,0.3604166666666666,10.0,10.0,20.0
11,2022-12-19 18:06:29,2022-12-19 18:06:29,165,2.75,2220041.5636363635,64.1563,LatencySink,24556.81666666667,152865197.0,0.484194085390636,30.0,674.0,0.4213833333333334,0.3618722222222221,10.0,10.0,20.0
12,2022-12-19 18:06:44,2022-12-19 18:06:44,180,3.0,2227564.2727272725,,,,,0.0148874378901575,,677.7777777777778,0.4202755555555555,0.3613933333333334,,,
13,2022-12-19 18:06:59,2022-12-19 18:06:59,195,3.25,2206162.6545454543,,,,,0.0124554268600662,2.0,678.5,0.4159079365079365,0.3665976190476191,,,
14,2022-12-19 18:07:14,2022-12-19 18:07:14,210,3.5,2185367.4727272727,96.32366666666668,LatencySink,0.0,,0.2708835621303164,25.0,680.3333333333333,0.2604202127659575,0.602645390070922,2.0,9.0,12.0
15,2022-12-19 18:07:29,2022-12-19 18:07:29,225,3.75,2164121.4363636365,123.403,LatencySink,4536.133333333333,274335168.0,0.7753222749969552,25.0,688.0,0.3157613636363636,0.5736193181818181,2.0,15.0,16.0
16,2022-12-19 18:07:44,2022-12-19 18:07:44,240,4.0,2153461.327272727,114.80075,LatencySink,15471.883333333331,280564011.0,0.830336357404622,25.0,300.1428571428571,0.2412028571428571,0.6799904761904761,2.0,15.0,16.0
