,index,timestamp,input_rate,datetime,seconds,minutes,latency,throughput,lag,CPU_load,taskmanager,backpressure,idle_time,busy_time
0,0,2022-12-15 19:17:27,2162717.036363636,2022-12-15 19:17:27,0,0.0,78.3695,13540.266666666668,180395511.0,0.3164933461959583,30.0,805.5833333333333,0.4616861111111111,0.2731472222222222
1,1,2022-12-15 19:17:42,2182309.981818181,2022-12-15 19:17:42,15,4.0,90.539,12722.766666666666,204656059.0,0.3335223875355058,30.0,825.8333333333333,0.4628833333333333,0.2662416666666666
2,2,2022-12-15 19:17:57,2202694.345454545,2022-12-15 19:17:57,30,8.0,101.6123,11701.183333333332,229435684.0,0.3606203626002111,30.0,837.6666666666667,0.4640388888888889,0.2610416666666666
3,3,2022-12-15 19:18:12,2222992.872727273,2022-12-15 19:18:12,45,12.0,112.0279,10768.266666666666,254275061.0,0.3895773697457145,30.0,847.4166666666666,0.4563499999999999,0.2665249999999999
4,4,2022-12-15 19:18:27,2227866.2363636363,2022-12-15 19:18:27,60,16.0,122.8449,10571.716666666667,279638520.0,0.3746743162154466,30.0,845.4166666666667,0.4463277777777776,0.2760333333333334
5,5,2022-12-15 19:18:42,2207716.363636364,2022-12-15 19:18:42,75,20.0,132.6768,9587.566666666668,305152133.0,0.3394845608483117,30.0,855.0,0.4444416666666666,0.2753888888888889
6,6,2022-12-15 19:18:57,2185430.89090909,2022-12-15 19:18:57,90,24.0,144.4876,9122.133333333331,330019475.0,0.3655105200809491,30.0,857.5833333333334,0.4367361111111111,0.2820999999999999
7,7,2022-12-15 19:19:12,2164324.8,2022-12-15 19:19:12,105,28.0,157.2375,8703.166666666668,354870524.0,0.2990769495099183,30.0,864.8333333333334,0.4367777777777777,0.2790444444444445
8,8,2022-12-15 19:19:27,2153739.7454545456,2022-12-15 19:19:27,120,32.0,152.28695833333336,5802.111111111111,341588820.3333333,0.0148506011032856,21.5,871.5555555555555,0.4388629629629628,0.2749962962962963
9,9,2022-12-15 19:19:42,2155534.9272727272,2022-12-15 19:19:42,135,36.0,147.33641666666668,2901.0555555555557,328307116.6666667,0.0199271910289132,13.0,868.6666666666666,0.4319555555555556,0.2827777777777778
10,10,2022-12-15 19:19:57,2156016.509090909,2022-12-15 19:19:57,150,40.0,142.38587500000003,0.0,315025413.0,0.722666138759559,39.0,879.3333333333334,0.2286304347826087,0.6306521739130436
11,11,2022-12-15 19:20:12,2161631.763636363,2022-12-15 19:20:12,165,44.0,145.8575,29329.95,323678382.0,0.5243294527113169,39.0,117.4,0.4018628205128204,0.5804948717948717
12,12,2022-12-15 19:20:27,2160506.9090909087,2022-12-15 19:20:27,180,48.0,145.10625,39710.45,325928991.0,0.5880821756257405,39.0,74.0,0.4612234432234432,0.5277783882783884
13,13,2022-12-15 19:20:42,2164266.709090909,2022-12-15 19:20:42,195,52.0,143.724375,52047.33333333333,325928991.0,0.5962926313807774,39.0,57.63636363636363,0.4728237762237762,0.5190552447552449
14,14,2022-12-15 19:20:57,2162277.9636363634,2022-12-15 19:20:57,210,56.0,143.346625,65384.43333333333,325624566.0,0.6316976365978711,39.0,44.58333333333332,0.5393824786324787,0.4576068376068376
15,15,2022-12-15 19:21:12,2161392.9636363634,2022-12-15 19:21:12,225,60.0,138.43962500000004,50996.98333333334,325624566.0,0.6268597832295311,39.0,6.416666666666667,0.508587606837607,0.4907136752136752
16,16,2022-12-15 19:21:27,2158540.4545454546,2022-12-15 19:21:27,240,64.0,133.62174999999996,53451.03333333333,317495955.0,0.6473463947051534,39.0,13.166666666666666,0.4884252136752136,0.5096047008547009
17,17,2022-12-15 19:21:42,2130603.418181818,2022-12-15 19:21:42,255,68.0,106.04905555555554,44662.63333333333,323596628.25,0.1349535441677683,21.0,16.900000000000002,0.4827696969696969,0.5146205128205127
18,18,2022-12-15 19:21:57,2076851.8,2022-12-15 19:21:57,270,72.0,78.47636111111112,35874.23333333333,329697301.5,0.0143899181091562,3.0,22.571428571428573,0.4793937728937729,0.5173411172161171
19,19,2022-12-15 19:22:12,2051187.4545454544,2022-12-15 19:22:12,285,76.0,50.90366666666667,27085.83333333333,335797974.75,0.105410611848726,4.0,35.25,0.388778125,0.6072489583333334
20,20,2022-12-15 19:22:27,2030354.690909091,2022-12-15 19:22:27,300,80.0,155.324875,18297.43333333333,341898648.0,0.728563122247675,25.0,301.75,0.3580052083333333,0.6138424479166664
21,21,2022-12-15 19:22:42,1979116.5818181816,2022-12-15 19:22:42,315,84.0,159.7925,26735.816666666666,346056054.0,0.6877894276823813,25.0,321.7142857142857,0.2581152380952381,0.6657876190476189
22,22,2022-12-15 19:22:57,1956262.0909090908,2022-12-15 19:22:57,330,88.0,161.97525,35587.5,349665636.0,0.6924198511652724,25.0,378.8,0.2797182222222222,0.6230484444444446
23,23,2022-12-15 19:23:12,1906532.036363636,2022-12-15 19:23:12,345,92.0,167.305125,44108.98333333334,354504366.0,0.6801601931322727,25.0,438.75,0.2944799999999999,0.5928466666666666
24,24,2022-12-15 19:23:27,1884696.9636363636,2022-12-15 19:23:27,360,96.0,171.48575,35149.75,358652811.0,0.7067244483247843,25.0,459.4166666666666,0.3234833333333333,0.5439866666666668
25,25,2022-12-15 19:23:42,1906662.2,2022-12-15 19:23:42,375,100.0,173.893,34548.13333333333,366837219.0,0.7071900867013474,25.0,512.4166666666666,0.31585,0.5317399999999999
26,26,2022-12-15 19:23:57,1930028.6545454543,2022-12-15 19:23:57,390,104.0,150.4214,36662.55,231967455.0,0.6912306648708463,25.0,539.7272727272727,0.3158445454545455,0.5274057575757576
