,index,timestamp,input_rate,datetime,seconds,minutes,latency,throughput,lag,CPU_load,taskmanager,backpressure,idle_time,busy_time
0,0,2022-12-16 10:07:32,2159634.2,2022-12-16 10:07:32,0,0.0,55.5077,23308.31666666667,133372238.0,0.4135907767698838,30.0,675.25,0.4148111111111111,0.3650944444444445
1,1,2022-12-16 10:07:47,2175851.145454545,2022-12-16 10:07:47,15,4.0,68.45833999999999,18858.253333333334,162632505.6,0.1352511637630374,26.0,690.2727272727273,0.4235281818181818,0.3511157575757575
2,2,2022-12-16 10:08:02,2196949.145454545,2022-12-16 10:08:02,30,8.0,81.40897999999999,14408.190000000002,191892773.2,0.0116561710362019,22.0,696.25,0.4241136904761904,0.3494755952380952
3,3,2022-12-16 10:08:17,2215246.2181818183,2022-12-16 10:08:17,45,12.0,94.35961999999999,9958.126666666669,221153040.8,0.0621078522437079,18.0,700.0,0.4279083333333332,0.3439366666666667
4,4,2022-12-16 10:08:32,2229322.018181818,2022-12-16 10:08:32,60,16.0,107.31025999999999,5508.063333333335,250413308.4,0.0206829675342558,52.0,720.0,0.4435333333333333,0.3248833333333333
5,5,2022-12-16 10:08:47,2213080.2727272725,2022-12-16 10:08:47,75,20.0,120.26089999999998,1058.0,279673576.0,0.5242814515991552,53.0,454.33333333333337,0.2378710691823898,0.3409629559748427
6,6,2022-12-16 10:09:02,2191002.581818182,2022-12-16 10:09:02,90,24.0,120.33319999999998,9148.783333333336,283895836.0,0.517628318091872,53.0,229.66666666666663,0.4495106918238993,0.35704257861635214
7,7,2022-12-16 10:09:17,2165317.345454545,2022-12-16 10:09:17,105,28.0,117.7838,20107.88333333333,285799090.0,0.5524338181088264,53.0,153.66666666666666,0.5001572327044025,0.37312220125786155
8,8,2022-12-16 10:09:32,2157010.2363636363,2022-12-16 10:09:32,120,32.0,108.6489,32252.15,286241242.0,0.5650223787977503,53.0,116.58333333333331,0.5199584048027446,0.38920182389937097
9,9,2022-12-16 10:09:47,2155269.909090909,2022-12-16 10:09:47,135,36.0,103.9837,45451.63333333333,283060296.0,0.5692244984635854,53.0,76.66666666666666,0.5923270440251576,0.4052814465408804
10,10,2022-12-16 10:10:02,2149496.163636364,2022-12-16 10:10:02,150,40.0,97.4348,58910.583333333336,283210251.0,0.5571970594046753,53.0,9.416666666666668,0.5721933962264152,0.426998427672956
11,11,2022-12-16 10:10:17,2160180.8545454545,2022-12-16 10:10:17,165,44.0,111.66019999999999,39273.72222222222,296891276.0,0.0134473900498705,27.5,10.444444444444445,0.5646079664570232,0.434482180293501
12,12,2022-12-16 10:10:32,2163879.727272727,2022-12-16 10:10:32,180,48.0,125.8856,19636.86111111111,310572301.0,0.0149953488626272,2.0,14.166666666666668,0.5586446540880501,0.4404968553459119
13,13,2022-12-16 10:10:47,2165078.109090909,2022-12-16 10:10:47,195,52.0,140.111,0.0,324253326.0,0.5705607190168588,49.0,12.333333333333332,0.2892973856209149,0.7102549019607846
14,14,2022-12-16 10:11:02,2162903.127272727,2022-12-16 10:11:02,210,56.0,140.9835,12040.05,334894611.0,0.4569695349082874,49.0,212.75,0.4221499999999999,0.5607102040816327
15,15,2022-12-16 10:11:17,2162851.4,2022-12-16 10:11:17,225,60.0,149.594375,24510.33333333333,337828398.0,0.5426894184498118,49.0,121.57142857142858,0.5012142857142857,0.4885349854227406
16,16,2022-12-16 10:11:32,2161946.218181818,2022-12-16 10:11:32,240,64.0,133.0845,42461.91666666666,338006301.0,0.5033305904175659,49.0,85.10000000000001,0.526317439703154,0.4662421150278294
17,17,2022-12-16 10:11:47,2130935.909090909,2022-12-16 10:11:47,255,68.0,147.70225,60419.18333333333,336691512.0,0.4828683535718897,49.0,72.83333333333334,0.617860544217687,0.3754982993197279
18,18,2022-12-16 10:12:02,2112775.963636364,2022-12-16 10:12:02,270,72.0,113.6325,76298.28333333333,336691512.0,0.4886220192252016,49.0,8.333333333333334,0.6099761904761907,0.3893928571428571
19,19,2022-12-16 10:12:17,2087401.127272727,2022-12-16 10:12:17,285,76.0,114.016375,83769.05,330589701.0,0.5223612379253524,49.0,8.583333333333332,0.6027721088435372,0.3966360544217687
20,20,2022-12-16 10:12:32,2066897.909090909,2022-12-16 10:12:32,300,80.0,106.9212,20672.75,213928905.0,0.4565173869130782,49.0,7.166666666666667,0.6040312306740877,0.3954928880643166
21,21,2022-12-16 10:12:47,2026008.6181818184,2022-12-16 10:12:47,315,84.0,121.14775833333334,13781.833333333332,253624238.0,0.0249030533155661,0.0,7.0,0.5996695011337869,0.3999895124716554
22,22,2022-12-16 10:13:02,1974238.709090909,2022-12-16 10:13:02,330,88.0,135.3743166666667,6890.916666666666,293319571.0,0.0132175059088722,2.0,4.0,0.5923455782312925,0.407487074829932
23,23,2022-12-16 10:13:17,1920380.3090909088,2022-12-16 10:13:17,345,92.0,149.60087500000003,0.0,333014904.0,0.4336749678048932,50.0,2.5,0.3022037037037037,0.6977340067340065
24,24,2022-12-16 10:13:32,1880678.763636364,2022-12-16 10:13:32,360,96.0,148.2315,9124.666666666666,335351736.0,0.434515704142636,50.0,43.6,0.448463,0.5496999999999999
25,25,2022-12-16 10:13:47,1900318.4545454544,2022-12-16 10:13:47,375,100.0,155.54525,20158.45,335737851.0,0.4539713955126999,50.0,27.25,0.5281899999999999,0.4706953571428571
26,26,2022-12-16 10:14:02,1920854.036363636,2022-12-16 10:14:02,390,104.0,145.60425,33468.5,335737851.0,0.457079799609937,50.0,20.454545454545453,0.5537918181818178,0.4453745454545454
27,27,2022-12-16 10:14:17,1927033.581818182,2022-12-16 10:14:17,405,108.0,119.288875,68780.5,331281171.0,0.4290358349372167,50.0,19.08333333333334,0.6476166666666668,0.3516216666666666
28,28,2022-12-16 10:14:32,1940126.6,2022-12-16 10:14:32,420,112.0,114.79525,73910.45,331281171.0,0.4567033173941103,50.0,3.083333333333333,0.6308033333333333,0.3689966666666668
29,29,2022-12-16 10:14:47,1883661.4,2022-12-16 10:14:47,435,116.0,110.27,77504.28333333333,247771470.0,0.4404119379404745,50.0,3.833333333333333,0.6225716666666665,0.37708
30,30,2022-12-16 10:15:02,1815043.0727272728,2022-12-16 10:15:02,450,120.0,122.01322222222221,51669.52222222222,257816148.0,0.0123382403323317,26.5,5.111111111111111,0.623410888888889,0.3761913333333332
31,31,2022-12-16 10:15:17,1767368.436363636,2022-12-16 10:15:17,465,124.0,133.75644444444444,25834.76111111111,267860826.0,0.0114962368256173,3.0,7.666666666666667,0.6164785714285713,0.382977619047619
32,32,2022-12-16 10:15:32,1711817.6181818182,2022-12-16 10:15:32,480,128.0,145.49966666666666,0.0,277905504.0,0.3193592906913944,46.0,13.333333333333332,0.3215147569444443,0.382977619047619
33,33,2022-12-16 10:15:47,1721159.472727273,2022-12-16 10:15:47,495,132.0,149.95316666666668,8989.4,284584868.0,0.3318729780363853,46.0,0.0,0.5668337209302324,0.382977619047619
34,34,2022-12-16 10:16:02,1730192.945454545,2022-12-16 10:16:02,510,136.0,148.94233333333335,17208.35,288470304.0,0.3562886935718743,46.0,0.0,0.5980927795031054,0.382977619047619
35,35,2022-12-16 10:16:17,1741705.0,2022-12-16 10:16:17,525,140.0,154.47366666666667,26501.25,289453592.0,0.3648154894884574,46.0,0.0,0.6247650197628459,0.382977619047619
