,index,timestamp,input_rate,datetime,seconds,minutes,latency,throughput,lag,CPU_load,taskmanager,backpressure,idle_time,busy_time
0,0,2022-12-16 00:07:55,2160619.7454545456,2022-12-16 00:07:55,0,0.0,22.7088,2011804.1333333333,80126987.0,0.6201333333333332,15.0,10.333333333333332,0.5322111111111111,0.4659888888888889
1,1,2022-12-16 00:08:10,2180578.436363636,2022-12-16 00:08:10,15,4.0,26.189400000000003,2005512.15,82903184.0,0.6099999999999999,15.0,10.916666666666668,0.5354555555555557,0.4627333333333333
2,2,2022-12-16 00:08:25,2197293.145454545,2022-12-16 00:08:25,30,8.0,28.8078,1985989.2666666664,87630439.0,0.6049333333333333,15.0,11.166666666666668,0.5359999999999999,0.4621777777777778
3,3,2022-12-16 00:08:40,2219930.145454545,2022-12-16 00:08:40,45,12.0,18.2224,1972029.7666666664,93411349.0,0.6220000000000001,15.0,7.5,0.5393666666666667,0.4591833333333334
4,4,2022-12-16 00:08:55,2227454.5454545454,2022-12-16 00:08:55,60,16.0,25.9914,1966313.65,99525859.0,0.6202666666666667,15.0,7.916666666666666,0.5408722222222223,0.4575166666666666
5,5,2022-12-16 00:09:10,2208530.727272727,2022-12-16 00:09:10,75,20.0,26.361,1953963.683333333,103874658.0,0.6066666666666665,15.0,9.416666666666666,0.5421111111111111,0.4556055555555555
6,6,2022-12-16 00:09:25,2186544.5454545454,2022-12-16 00:09:25,90,24.0,36.4512,1955848.0,107742253.0,0.6065333333333334,15.0,9.0,0.5443888888888889,0.4531166666666666
7,7,2022-12-16 00:09:40,2166307.0545454547,2022-12-16 00:09:40,105,28.0,28.1066,1964692.05,111417307.0,0.6101542483660131,15.0,10.666666666666666,0.5442833333333333,0.4531222222222222
8,8,2022-12-16 00:09:55,2149283.2545454544,2022-12-16 00:09:55,120,32.0,46.67313333333334,1319345.9555555554,140638243.33333334,0.0096440624171392,7.5,11.222222222222223,0.5463399999999999,0.45096
9,9,2022-12-16 00:10:10,2155449.327272727,2022-12-16 00:10:10,135,36.0,65.23966666666666,673999.861111111,169859179.66666666,0.0154460569785647,0.0,10.666666666666666,0.5462634920634921,0.4518174603174603
10,10,2022-12-16 00:10:25,2158569.2545454544,2022-12-16 00:10:25,150,40.0,83.8062,28653.766666666663,199080116.0,0.7188423005565864,11.0,43.0,0.377676282051282,0.6195961538461539
11,11,2022-12-16 00:10:40,2160512.690909091,2022-12-16 00:10:40,165,44.0,90.494,377417.51666666666,213312782.0,0.7662103386809269,11.0,34.2,0.3891384615384615,0.6009692307692308
12,12,2022-12-16 00:10:55,2158730.763636364,2022-12-16 00:10:55,180,48.0,70.354,809975.4833333334,222499391.0,0.832,11.0,22.0,0.3718733766233766,0.6224902597402597
13,13,2022-12-16 00:11:10,2167644.6,2022-12-16 00:11:10,195,52.0,95.7254,1276622.2,229433912.0,0.832909090909091,11.0,16.363636363636363,0.3684057851239668,0.6273132231404959
14,14,2022-12-16 00:11:25,2162940.4727272727,2022-12-16 00:11:25,210,56.0,77.8912,1728191.0833333335,236159013.0,0.8430909090909092,11.0,17.75,0.3964924242424243,0.5972954545454546
15,15,2022-12-16 00:11:40,2156887.9272727272,2022-12-16 00:11:40,225,60.0,106.5606,1856839.8,241496211.0,0.8247272727272728,11.0,24.08333333333333,0.359090909090909,0.6337348484848485
16,16,2022-12-16 00:11:55,2150191.1818181816,2022-12-16 00:11:55,240,64.0,88.943,1917282.2666666664,247136716.0,0.8441818181818183,11.0,24.83333333333333,0.3426742424242424,0.6486666666666667
17,17,2022-12-16 00:12:10,2125120.1818181816,2022-12-16 00:12:10,255,68.0,96.13613333333333,1278188.1777777774,254357333.33333334,0.0832052730882312,7.0,29.4,0.3370619834710743,0.6527752066115702
18,18,2022-12-16 00:12:25,2099433.527272728,2022-12-16 00:12:25,270,72.0,103.32926666666667,639094.0888888887,261577950.66666666,0.0214213658032823,3.0,27.375,0.3328555194805195,0.6577337662337662
19,19,2022-12-16 00:12:40,2085471.1272727277,2022-12-16 00:12:40,285,76.0,110.5224,0.0,268798568.0,0.2791131654815384,13.0,30.2,0.1669477272727272,0.8306795454545455
20,20,2022-12-16 00:12:55,2065722.6727272728,2022-12-16 00:12:55,300,80.0,139.9035,320899.65,332213848.0,0.7712579185520363,13.0,17.0,0.3293159722222222,0.6684340277777776
21,21,2022-12-16 00:13:10,2014770.4545454544,2022-12-16 00:13:10,315,84.0,101.964,790649.7333333334,334775700.0,0.8327933634992459,13.0,21.714285714285715,0.3588003663003662,0.6364084249084249
