timestamp,value
2022-12-19 18:04:14,20.0
2022-12-19 18:04:29,20.0
2022-12-19 18:04:44,20.0
2022-12-19 18:04:59,20.0
2022-12-19 18:05:14,20.0
2022-12-19 18:05:29,20.0
2022-12-19 18:05:44,20.0
2022-12-19 18:05:59,20.0
2022-12-19 18:06:14,20.0
2022-12-19 18:06:29,20.0
2022-12-19 18:07:14,12.0
2022-12-19 18:07:29,16.0
2022-12-19 18:07:44,16.0
2022-12-19 18:07:59,16.0
2022-12-19 18:08:14,16.0
2022-12-19 18:08:29,16.0
2022-12-19 18:08:44,16.0
2022-12-19 18:08:59,2.0
2022-12-19 18:09:44,16.0
2022-12-19 18:09:59,16.0
2022-12-19 18:10:14,16.0
2022-12-19 18:10:29,16.0
2022-12-19 18:10:44,16.0
2022-12-19 18:10:59,16.0
2022-12-19 18:11:14,16.0
2022-12-19 18:11:44,12.0
2022-12-19 18:11:59,12.0
2022-12-19 18:12:14,12.0
2022-12-19 18:12:29,12.0
2022-12-19 18:12:44,12.0
2022-12-19 18:12:59,12.0
2022-12-19 18:13:14,12.0
2022-12-19 18:13:29,12.0
2022-12-19 18:14:14,8.0
2022-12-19 18:14:29,10.0
2022-12-19 18:14:44,10.0
2022-12-19 18:14:59,10.0
2022-12-19 18:15:14,10.0
2022-12-19 18:15:29,10.0
2022-12-19 18:15:44,10.0
2022-12-19 18:15:59,4.0
2022-12-19 18:16:44,10.0
2022-12-19 18:16:59,10.0
2022-12-19 18:17:14,10.0
2022-12-19 18:17:29,10.0
2022-12-19 18:17:44,10.0
2022-12-19 18:17:59,10.0
2022-12-19 18:18:14,10.0
2022-12-19 18:18:59,8.0
2022-12-19 18:19:14,8.0
2022-12-19 18:19:29,8.0
2022-12-19 18:19:44,8.0
2022-12-19 18:19:59,8.0
2022-12-19 18:20:14,8.0
2022-12-19 18:20:29,8.0
2022-12-19 18:21:14,10.0
2022-12-19 18:21:29,10.0
2022-12-19 18:21:44,10.0
2022-12-19 18:21:59,10.0
2022-12-19 18:22:14,10.0
2022-12-19 18:22:29,10.0
2022-12-19 18:22:44,10.0
2022-12-19 18:22:59,10.0
2022-12-19 18:23:44,2.0
2022-12-19 18:23:59,6.0
2022-12-19 18:24:14,6.0
2022-12-19 18:24:29,6.0
2022-12-19 18:24:44,6.0
2022-12-19 18:24:59,6.0
2022-12-19 18:25:14,6.0
2022-12-19 18:25:29,6.0
2022-12-19 18:26:14,6.0
2022-12-19 18:26:29,6.0
2022-12-19 18:26:44,6.0
2022-12-19 18:26:59,6.0
2022-12-19 18:27:14,6.0
2022-12-19 18:27:29,6.0
2022-12-19 18:27:44,6.0
2022-12-19 18:27:59,6.0
2022-12-19 18:28:44,6.0
2022-12-19 18:28:59,6.0
2022-12-19 18:29:14,6.0
2022-12-19 18:29:29,6.0
2022-12-19 18:29:44,6.0
2022-12-19 18:29:59,6.0
2022-12-19 18:30:14,6.0
2022-12-19 18:30:44,4.0
2022-12-19 18:30:59,4.0
2022-12-19 18:31:14,4.0
2022-12-19 18:31:29,4.0
2022-12-19 18:31:44,4.0
2022-12-19 18:31:59,4.0
2022-12-19 18:32:14,4.0
2022-12-19 18:32:29,4.0
2022-12-19 18:32:44,4.0
2022-12-19 18:33:29,4.0
2022-12-19 18:33:44,4.0
2022-12-19 18:33:59,4.0
2022-12-19 18:34:14,4.0
2022-12-19 18:34:29,4.0
2022-12-19 18:34:44,4.0
2022-12-19 18:34:59,4.0
2022-12-19 18:35:44,4.0
2022-12-19 18:35:59,4.0
2022-12-19 18:36:14,4.0
2022-12-19 18:36:29,4.0
2022-12-19 18:36:44,4.0
2022-12-19 18:36:59,4.0
2022-12-19 18:37:14,4.0
2022-12-19 18:38:14,4.0
2022-12-19 18:38:29,4.0
2022-12-19 18:38:44,4.0
2022-12-19 18:38:59,4.0
2022-12-19 18:39:14,4.0
2022-12-19 18:39:29,4.0
2022-12-19 18:39:44,4.0
2022-12-19 18:40:29,6.0
2022-12-19 18:40:44,6.0
